Index,random,ID,Dataset,Ground Truth
44,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"negligence’ of driver Henri Paul, a security manager at the Paris Ritz Hotel, who ."
45,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,had been drinking. Henri Paul's mother Gisele .
46,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,said she believed her son was murdered together with Diana and Mr Al .
47,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Fayed when the Mercedes he was driving crashed in an underpass.
48,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"Mrs Paul, 83, said: ‘We believe there was a plot to kill the Princess that terrible night in August 1997."
49,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,‘We know in our hearts that our son was murdered and we still live with the hope that one day the truth will be known.’ The .
50,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"new information was also welcomed by Dodi’s father, former Harrods ."
51,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"owner Mohamed Al Fayed, who also insists the couple were murdered. He ."
52,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,said he trusted the Metropolitan Police would investigate the new claims . ‘with vigour’.
53,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"A Royal spokesman said there would be no comment from the Duke of Cambridge, Prince Harry or Clarence House."
54,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Scotland Yard confirmed officers from its specialist crime and operations command are assessing information handed to it by the Royal Military Police.
55,313541,2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Pictured: The couple at the Ritz Hotel before they both died .
57,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,(CNN) -- Italy has moved to defuse a diplomatic dispute with India by agreeing to send back two Italian marines accused of killing two Indian fishermen last year.
58,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,"The two Italian marines are due to face trial in India over the allegations, but after the Indian Supreme Court allowed them to return to Italy last month to vote in national elections, Rome refused to send them back."
59,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,"That decision angered Indian government officials and Supreme Court justices, who noted that the Italian ambassador had given assurances to the court that the marines, Massimiliano Latorre and Salvatore Girone, would come back to India after the elections."
60,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,"The court responded last week by temporarily banning the ambassador, Daniele Mancini, from leaving India, a move that Italy said violated the Vienna Convention on Diplomatic Relations."
61,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,"The two sides appeared locked in an impasse, with Indian Prime Minister Manmohan Singh saying Italy's actions were ""not acceptable"" and warning of ""consequences"" for the two countries' relations."
62,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,"On Thursday, the Italian Prime Minister Mario Monti's office said it would make good on the commitment to send the sailors back after receiving written assurances from the Indian government that the two men's ""fundamental rights"" would be protected."
63,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,"The two sailors have agreed to the decision, it said."
64,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,"The Indian government appeared to welcome the move, with Home Affairs Minister R.P.N."
65,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,"Singh saying on Twitter that New Delhi's ""tough stand"" had worked."
66,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,Italy has argued that the February 2012 shooting involving its marines happened in international waters and was therefore outside of Indian jurisdiction.
67,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,Latorre and Girone say they mistook the fishermen for pirates.
68,575734,1d15619b6441fd0149b2e45b8e82d06a643cb178,CNN/Daily Mail,CNN's Elwyn Lopez contributed to this report.
70,766706,26449536,XSum,"In his first public comments on the Ukrainian crisis, Mr Putin said on Tuesday that Moscow reserved the right to act to protect Russian citizens and speakers anywhere in Ukraine, but added that military action was ""a last resort"".
Ukrainian newspapers say that the threat of war has been averted, but warn that Russia may now attempt a plan of ""creeping federalisation"" to split the country.
Most of the major Russian dailies adopt a staunch pro-government stance, praising President Putin as a ""man in control"" who has clearly outlined his ""negotiating positions"" to the West and Ukraine.
Russian pundits dwell not so much on the messages relayed by Mr Putin but rather on the political and personal qualities that they feel he displayed during the news conference.
Izvestiya daily notes that the president was ""calm and confident"" and ""clearly answered all questions"" asked by journalists.
""By not going to war, Putin proved himself as a statesman, not just as a tactician,"" says an editorial in Vedomosti, adding that a crisis in relations with a neighbour ""is a maturity test for every head of state"".
Writing in Moskovskiy Komsomolets, Mikhail Rostovsky says that ""having faced such a heavy flow of threats from almost all Western leaders"" Mr Putin did not look like a ""frightened politician"" but behaved like it was ""water off a duck's back"".
""Vladimir Putin communicated indirectly with his G8 colleaguesâ€¦ and defined his negotiating positions,"" says the article.
""The president feels the master of the situation,"" exclaims Nikolai Petrov in Nezavisimaya Gazeta."
71,766706,26449536,XSum,"He argues that Mr Putin's position is ""strengthened by the fact that the new Ukrainian authorities are not in control of Eastern Ukraineâ€¦ and also by the fact that the West cannot quickly provide the money that Kiev desperately needs""."
72,766706,26449536,XSum,"That is why ""with each passing day Kiev is pushed towards making concessions to Putin,"" concludes the pundit.
""Putin made his move."
73,766706,26449536,XSum,"It's the turn of Ukraine and the West to respond,"" another political analyst, Igor Bunin, tells Nezavisimaya Gazeta.
""Confessions of a mad aggressor"" is how the main headline in Ukrainian daily Ukrayina Moloda describes the news conference by President Putin.
A cartoon on its front page shows the Russian president sporting an ""I love Ukraine"" badge."
74,766706,26449536,XSum,"He is wearing a nappy, with an olive branch in one hand and a toy tank in the other."
75,766706,26449536,XSum,"""While listening to the leader of one of the biggest and most powerful countries of the world, one starts worrying not only about Ukraine, but also about the entire world,"" the paper comments.
Ukrainian commentators are sceptical about Mr Putin's claims that he will not yet resort to the use of force.
""There will be no military aggression, but he will not give up on Crimea,"" Vadym Karasyov tells Kommersant Ukraina."
76,766706,26449536,XSum,"He predicts that Crimea ""will remain part of Ukraine but will be turned into Ukraine's Dniester region""."
77,766706,26449536,XSum,"The mainly Russian-speaking Trans-Dniester region proclaimed independence from Moldova in 1990 and Russian troops now have a heavy presence there.
The front page of the daily Den carries a picture of soldiers putting up a Ukrainian flag in defiance at Belbek airport in Crimea, apparently surrounded by Russian troops with machine guns."
78,766706,26449536,XSum,"""We are proud of you"" is the main headline."
79,766706,26449536,XSum,"""Restraint and patriotism displayed by the Ukrainian military marked a turning point in the Crimean situation,"" says the paper, while warning that ""it is too early to relax"".
Den also quotes pundit Olena Hetmanchuk as saying that Vladimir Putin's seemingly peaceful tone ""is a tactical defeat"".
""We should brace ourselves for a long exhausting war which will not be waged with the help of tanks."
80,766706,26449536,XSum,"This news conference marked the start of a new phase of Putin's diplomatic and PR war,"" she argues.
BBC Monitoring reports and analyses news from TV, radio, web and print media around the world."
81,766706,26449536,XSum,"For more reports from BBC Monitoring, click here."
82,766706,26449536,XSum,You can follow BBC Monitoring on Twitter and Facebook.
84,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"(CNN) -- Back in 1971, I was present as top leaders of two political organizations met to negotiate common actions they could take despite their differences."
85,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,One of those leaders was a woman.
86,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Over and over, she raised points for consideration, only to be ignored by both sides."
87,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"When someone of the other team did agree with a proposal she made, he would wait a few minutes and then say so to one of her male colleagues, as though the suggestion had been his."
88,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"""As you said, Jerry,"" or ""That's probably the way to go, Sam."" No one on her team corrected the misattribution, though they laughed about it afterward."
89,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"As the woman matter-of-factly explained to me, ""He couldn't admit anything we said was right if he also had to admit that it had come from a woman."" How far have we come in 40 years? According to a new book on the the Obama administration, many of the president's advisers initially showed similar disregard for women."
90,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"For the first two years, senior female aides complained that male colleagues ignored them, excluded them from key policy meetings, dismissed their opinions and limited their access to the president."
91,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"It is clear, however, that we have come a long way."
92,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"When told of the women's concerns, President Barack Obama convened a dinner with the female staff and took steps to make the atmosphere more inclusive and empowering."
93,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Our nation now has three women on the Supreme Court, all of whom out-talk at least one of their male colleagues."
94,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"And we have a female secretary of state who by all accounts does not get muscled aside by anyone, male or female."
95,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,Assessing the extent and impact of gender stereotypes is more complex today than it was in the early 1960s.
96,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Back then, ""head and master"" laws gave husbands the final say in most family decisions."
97,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,Quotas limited the number of women who could be admitted to law or dental school.
98,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"""Help wanted"" ads for men only excluded women from even applying for most highly paid and challenging jobs."
99,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"And of course, men and women in the same jobs were treated differently in salary and promotions."
100,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Women now earn more B.A.'s and M.A.'s than men do, and they have pulled even in Ph.D's."
101,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Today, education trumps gender in determining pay, with the result that in most metropolitan regions women in their 20s tend to out-earn men in the same age group because of their greater educational achievement."
102,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"By contrast, in 1970, a female college graduate who worked full-time year-round earned less than a white male high school graduate."
103,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"As President Obama's senior staff discovered, gender stereotypes still encourage men to dominate and females to defer, perpetuating women's second-class status in the workforce."
104,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Yet these same stereotypes can also penalize males in ways that were not obvious in the past, when male privilege had so many more legal and administrative supports."
105,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"The mystique of masculinity, for example, encourages many men to view studying hard as ""a girl thing."" It also leads many to seek work in the unstable, seasonal construction sector or in other ""manly"" jobs, many of which are concentrated in declining industries, rather than preparing themselves for ""traditionally female"" jobs in health care, child care, teaching, and social work.""Manly"" males bully other males who show interest in such work, accusing them of acting ""gay"" or being ""girlie-men."" And when men defy these stereotypes to seek such work, they often encounter gender discrimination from employers who believe that a man cannot be as good a nurturer or helper as a woman."
106,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"But at the top of the educational, economic, and political pyramid -- in what were traditionally ""male"" kinds of work -- gender stereotypes continue to penalize women."
107,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Catalyst, an organization formed in 1962 to help women enter the workplace, titled its 2007 report on the attitudes of more than 1,200 senior executives in the United States and Europe toward female employees: ""Damned If You Do, Damned If You Don't."" According to their report, when women ""act assertively, focus on work tasks, display ambition,"" or engage in other behaviors that receive high praise when done by men, they are perceived as ""too tough"" and ""unfeminine."" But when women pay attention to work relationships and express ""concern for other people's perspective,"" they are considered less competent than men."
108,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"In the television news industry, two-thirds of the news producers, but only 20 percent of the news directors, are female."
109,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Men make up more than three-quarters of all workers earning more than $100,000 a year, and only 2 percent of Fortune 500 companies are run by women."
110,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,Part of this pattern may stem from women's socialization not to put themselves forward too much.
111,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"Young women are four times less likely than young men to negotiate their first salary, and economists estimate that this unwillingness to assert their own worth as workers ends up costing women $500,000 in earnings by the time they reach 60."
112,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,But part of the problem is that women's worth is consistently undervalued by others.
113,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"A March 2010 study by the American Association of University Women found that among postdoctoral applicants, women had to publish three more papers in the most prestigious journals, or 20 more in the less-prestigious ones, to be considered as productive as male applicants."
114,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"And it remains true that many men are still socialized to put themselves forward too much, and literally cannot hear women who ask for what they want."
115,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,"A wise executive -- in a school, a business, or a nation -- must help his or her team learn to respect all styles of self-presentation and to listen to all views, as Obama evidently did when it was brought to his attention."
116,224253,8c76a9cc6d489f88429feb2c5b58248cce3ec666,CNN/Daily Mail,The opinions expressed in this commentary are solely those of Stephanie Coontz.
118,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,A day out for Muslim families had to be cancelled at Legoland after staff and children were threatened by far-right extremists.
119,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"The theme park in Windsor, Berkshire, had been hired out exclusively to Haitham al-Haddad, who is said to be among the top 25 radical preachers in Britain."
120,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"More than one thousand Muslim families were expected to attend at a cost of around £100,000."
121,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,Tickets would have cost around £17 each.
122,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,Fun day: Haitham al-Haddad had hired the theme park exclusively for a day of 'halal activities'.
123,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"Al-Haddad, who leads the Muslim Research and Development Foundation (MRDF), based in Tower Hamlets, had booked the children’s park for a day of ‘halal entertainment’ on March 9."
124,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"But after being inundated with abusive and offensive phone calls, emails and posts on social media, bosses at the amusement park decided to cancel the event."
125,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,One Neo-Nazi group wrote that it would make police in Thames Valley their 'b****' and that threatening children 'rocks'.
126,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,The post on the group's Facebook page also said: ‘My dad would be so proud if he knew I existed #itsgreatbeingus’ Members of the English Defence League were also said to have been involved.
127,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,A spokeswoman for Legoland told MailOnline the neo-Nazi group also posted a picture of one of their Muslim workers on Facebook with an offensive comment.
128,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,She added the extent of the abuse led Legoland to take down its Facebook page for a week.
129,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,The decision to cancel the event completely was made on the advice of police after no guarantees for the safety of staff and guests could be made.
130,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,One staff member at Legoland said that they were 'appalled' at the outcome and blamed misinformation 'fuelled by a small group with a clear agenda.' She added: 'The LEGOLAND Windsor Resort prides itself on welcoming everyone to our wonderful attraction; however due to unfortunate circumstances the private event scheduled for Sunday March 9 will no longer take place.
131,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"‘This was an incredibly difficult decision made after discussions with the organisers and Thames Valley Police, following the receipt of a number of threatening phone calls, emails and social media posts to the resort over the last couple of weeks."
132,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"‘These alone have led us to conclude that we can no longer guarantee the happy fun family event which was envisaged, or the safety of our guests and employees on that day – which is always our number one priority.’ Target: Staff at Legoland were threatened by far-right group after it emerged that the park had been booked out."
133,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"Day trip: More than 1,000 Muslim families were to attend the day costing around £100,000."
134,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,She said: ‘Sadly it is our belief that deliberate misinformation fuelled by a small group with a clear agenda was designed expressly to achieve this outcome.
135,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"‘We are appalled at what has occurred, and at the fact that the real losers in this are the many families and children who were looking forward to an enjoyable day out."
136,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"‘We would like to apologise to them and to the organisers, and to thank them for their understanding.’ Thames Valley Police are investigating reports of the offences under the Malicious Communications Act."
137,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,A police spokesman added: ‘As there is an ongoing police investigation it would be inappropriate for us to comment further.’ The Muslim Research and Development Foundation could not be reached for a comment.
138,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,The MRDF's leader al-Haddad was reported to be on a list of 25 extremist clerics identified by security chiefs and Downing Street as candidates for anti-extremism Asbo banning orders.
139,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,"He has spoken in favour of a form of female genital mutilation, although he recognises it is illegal in Britain, and following the death of Osama bin Laden in 2011, he wrote because he was a Muslim he would ""enter paradise""."
140,729449,fed0d221e1011f98987bf5c1804419245b3bda64,CNN/Daily Mail,Legoland has previously hosted several exclusive parties and celebrities such as Brad Pitt and Angelina Jolie as well as David and Victoria Beckham.
142,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"(CNN)It's a story that could have borrowed some of its plot from a Bollywood movie, but audiences might have scoffed at the improbable ending Krishna Poonia achieved in real life."
143,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"A script containing some classic storytelling themes -- poor rural upbringing, family tragedy, arranged marriages and political ambitions -- was afforded its defining element when Poonia put in an historic performance at the Commonwealth Games held in 2010."
144,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"In the entire 80-year history of the quadrennial sporting jamboree, no Indian female had ever claimed gold in a track and field event until Poonia snatched a momentous victory in the women's discus."
145,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"Her winning throw of 61.51 meters led an Indian clean sweep in the event (compatriots Harwant Kaur and Seema Antil took silver and bronze respectively) and also ensured India's first win in the athletics stadium since the runner Milkha Singh, known as ""The Flying Sikh,"" dashed to gold in the men's 440 yards at the Games held in Cardiff, Wales way back in 1958."
146,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"""I can never forget that moment when I won the gold medal and when I took the victory lap with the flag,"" Poonia told CNN's Human to Hero series."
147,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"""For four years I was seeing the moment in my dreams and now I was finally seeing it in reality,"" she added wiping away tears from her eyes."
148,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,Poonia could be forgiven for welling up given her journey from provincial backwater to a packed stadium in New Delhi.
149,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"Born in the small town of Agroha in the state of Haryana, Poonia was brought up in by her father and grandmother after her mother died when she was just nine years old."
150,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,Living among the Jat people -- a traditional agricultural community in northern India -- Poonia recalls a childhood where physical fitness was honed working the land not at play on a sports field.
151,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"""Most people are agriculturalist and their routine is to get up early and feed the livestock and after breakfast they leave for the fields,"" she explains."
152,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"""My family had a milk dairy and we had around 70-80 buffalo."
153,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,The work of the milking was only done by the family ...
154,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"and when I was (15-16 years old) I would help, milking seven to eight buffaloes in one go."" School afforded something of a respite from this routine as well as providing an outlet for her growing interest in sport which was exercised further as she continued her formal education."
155,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"""When I got to college I used to compete with the other girls."
156,592641,fd89fe1d38246436f1e7ff97ddb24489bb292495,CNN/Daily Mail,"My height and strength was good -- I could throw well,"" she explains."
